,Year,Afghanistan,Bahrain,Canada,Egypt,India,Oman,Qatar,Saudi Arabia,United Arab Emirates,United Kingdom,United States
46,2026,4.0,3.1,1.5,5.8,6.5,2.0,1.9,2.8,2.6,1.4,1.6
45,2025,4.0,3.1,1.4,5.8,6.6,1.7,2.2,2.8,2.6,1.5,1.6
44,2024,4.0,3.1,1.4,5.6,6.7,2.2,1.8,2.8,2.6,1.8,1.5
43,2023,4.5,3.1,2.2,5.6,6.8,2.7,2.2,2.8,2.6,2.0,1.4
42,2022,4.5,3.1,4.7,5.7,6.9,7.4,3.6,4.0,2.6,5.1,3.5
41,2021,4.0,3.3,5.0,2.5,12.5,1.8,2.4,2.9,3.1,5.3,6.4
40,2020,-5.0,-5.4,-5.4,3.6,-8.0,-6.4,-2.6,-4.1,-5.9,-9.9,-3.5
39,2019,3.9,2.0,1.9,5.6,4.0,-0.8,0.8,0.3,1.7,1.4,2.2
38,2018,1.2,1.7,2.4,5.3,6.5,0.9,1.2,2.4,1.2,1.3,3.0
37,2017,2.6,4.3,3.0,4.1,6.8,0.3,-1.5,-0.7,2.4,1.7,2.3
36,2016,2.2,3.6,1.0,4.3,8.3,4.9,3.1,1.7,3.1,1.7,1.7
35,2015,1.0,2.5,0.7,4.4,8.0,4.7,4.8,4.1,5.1,2.4,3.1
34,2014,2.7,4.4,2.9,2.9,7.4,1.4,5.3,3.7,4.3,2.9,2.5
33,2013,5.7,5.4,2.3,3.3,6.4,5.1,5.6,2.7,5.1,2.2,1.8
32,2012,14.0,3.7,1.8,2.2,5.5,9.1,4.7,5.4,4.5,1.4,2.2
31,2011,6.5,2.0,3.1,1.8,6.6,2.6,11.3,10.0,6.9,1.3,1.6
30,2010,8.4,4.3,3.1,5.1,10.3,2.0,17.7,5.0,1.6,2.1,2.6
29,2009,20.6,2.5,-2.9,4.7,8.5,6.1,13.1,-2.1,-5.2,-4.1,-2.5
28,2008,3.9,6.2,1.0,7.2,3.9,8.2,17.5,6.2,3.2,-0.3,-0.1
27,2007,13.3,8.3,2.1,7.1,9.8,4.5,18.2,1.8,3.2,2.4,1.9
26,2006,5.4,6.5,2.6,6.8,9.3,5.4,28.1,2.8,9.8,2.7,2.9
25,2005,11.8,6.8,3.2,4.5,9.3,2.5,7.8,5.6,4.9,3.0,3.5
24,2004,0.7,7.0,3.1,4.1,7.8,1.3,19.2,8.0,9.6,2.3,3.8
23,2003,8.7,6.3,1.8,3.2,7.9,-2.7,4.0,11.2,8.8,3.3,2.9
22,2002,,3.3,3.0,3.2,3.9,-1.1,6.9,-2.8,2.5,2.2,1.7
21,2001,,2.5,1.8,3.5,4.9,4.5,4.5,-1.2,1.3,2.7,1.0
20,2000,,7.0,5.2,5.4,4.0,6.5,6.9,5.6,12.3,3.5,4.1
19,1999,,6.0,5.2,6.1,8.5,0.3,3.8,-3.8,3.8,3.3,4.8
18,1998,,4.8,3.9,7.5,6.2,2.7,10.3,2.9,0.8,3.7,4.5
17,1997,,2.3,4.3,5.9,4.0,6.2,27.7,1.1,8.6,5.0,4.4
16,1996,,3.2,1.6,4.9,7.5,2.9,4.2,2.6,5.3,2.5,3.8
15,1995,,1.9,2.7,4.5,7.6,4.8,0.4,0.2,6.6,2.5,2.7
14,1994,,3.2,4.5,4.2,6.7,3.8,1.9,0.6,7.4,3.8,4.0
13,1993,,7.6,2.7,2.9,4.8,6.1,-0.9,-1.4,0.0,2.5,2.8
12,1992,,7.1,0.9,0.3,5.5,8.5,10.4,4.0,3.1,0.4,3.5
11,1991,,2.3,-2.1,2.1,1.1,6.0,-1.5,15.0,2.1,-1.1,-0.1
10,1990,,3.5,0.2,2.3,5.5,8.4,-14.6,15.2,23.6,0.7,1.9
9,1989,,1.0,2.3,3.0,5.9,3.0,5.3,-0.5,15.7,2.6,3.7
8,1988,,6.0,4.4,4.0,9.6,5.2,4.7,13.1,-2.6,5.7,4.2
7,1987,,-1.2,4.1,4.3,4.0,-4.0,0.9,-6.6,5.3,5.4,3.5
6,1986,,0.5,2.1,4.8,4.8,2.1,3.7,17.0,-19.3,3.2,3.5
5,1985,,-0.9,4.7,7.4,5.3,14.5,-13.0,-9.8,-2.5,4.1,4.2
4,1984,,4.2,5.9,8.0,3.8,13.9,16.0,-4.7,4.5,2.2,7.2
3,1983,,7.0,2.6,8.9,7.3,15.9,-5.3,-16.1,-5.2,4.2,4.6
2,1982,,6.4,-3.2,7.3,3.5,11.5,-8.2,-20.7,-7.2,2.0,-1.8
1,1981,,2.8,3.5,2.2,6.0,17.1,-3.9,1.9,8.0,-0.7,2.5
0,1980,,7.5,2.2,3.4,5.3,6.1,-1.0,5.7,-1.8,-2.1,-0.3
